abbr,k,s,skip,expand,ratio,error
av,20,5,0,13,0.0,0
hiv,20,5,9,44,0.20454545454545456,2
rbc,20,5,1,12,0.08333333333333333,2
cv,20,5,0,19,0.0,0
pca,20,5,11,44,0.25,3
ems,20,5,20,43,0.46511627906976744,1
ptt,20,5,28,69,0.4057971014492754,1
bal,20,5,16,41,0.3902439024390244,2
am,20,5,3,62,0.04838709677419355,0
ap,20,5,4,22,0.18181818181818182,0
jp,20,5,4,35,0.11428571428571428,0
pt,20,5,1,47,0.02127659574468085,2
bp,20,5,4,6,0.6666666666666666,0
ogt,20,5,23,94,0.24468085106382978,0
lcx,20,5,1,12,0.08333333333333333,1
pcp,20,5,29,78,0.3717948717948718,2
mca,20,5,2,5,0.4,0
si,20,5,2,15,0.13333333333333333,3
loc,20,5,23,49,0.46938775510204084,1
ekg,20,5,0,6,0.0,0
av,20,10,9,21,0.42857142857142855,1
hiv,20,10,4,16,0.25,0
rbc,20,10,6,14,0.42857142857142855,1
cv,20,10,14,32,0.4375,0
pca,20,10,16,30,0.5333333333333333,1
ems,20,10,84,119,0.7058823529411765,5
ptt,20,10,21,62,0.3387096774193548,0
bal,20,10,30,56,0.5357142857142857,9
am,20,10,18,93,0.1935483870967742,1
ap,20,10,3,21,0.14285714285714285,1
jp,20,10,11,24,0.4583333333333333,2
pt,20,10,234,143,1.6363636363636365,22
bp,20,10,3,5,0.6,0
ogt,20,10,3,18,0.16666666666666666,0
lcx,20,10,4,8,0.5,0
pcp,20,10,44,51,0.8627450980392157,0
mca,20,10,5,8,0.625,2
si,20,10,3,8,0.375,0
loc,20,10,12,20,0.6,1
ekg,20,10,18,25,0.72,0
av,20,15,8,29,0.27586206896551724,1
hiv,20,15,7,19,0.3684210526315789,2
rbc,20,15,6,16,0.375,2
cv,20,15,8,14,0.5714285714285714,2
pca,20,15,37,51,0.7254901960784313,6
ems,20,15,41,67,0.6119402985074627,2
ptt,20,15,30,53,0.5660377358490566,0
bal,20,15,25,41,0.6097560975609756,2
am,20,15,46,127,0.36220472440944884,0
ap,20,15,11,17,0.6470588235294118,1
jp,20,15,29,57,0.5087719298245614,0
pt,20,15,28,105,0.26666666666666666,12
bp,20,15,2,27,0.07407407407407407,0
ogt,20,15,11,33,0.3333333333333333,0
lcx,20,15,2,11,0.18181818181818182,1
pcp,20,15,28,50,0.56,1
mca,20,15,21,41,0.5121951219512195,1
si,20,15,5,11,0.45454545454545453,2
loc,20,15,22,34,0.6470588235294118,1
ekg,20,15,5,5,1.0,0
av,30,5,6,13,0.46153846153846156,3
hiv,30,5,4,44,0.09090909090909091,1
rbc,30,5,1,12,0.08333333333333333,2
cv,30,5,1,19,0.05263157894736842,0
pca,30,5,14,44,0.3181818181818182,3
ems,30,5,13,43,0.3023255813953488,1
ptt,30,5,14,69,0.2028985507246377,1
bal,30,5,18,41,0.43902439024390244,0
am,30,5,13,62,0.20967741935483872,1
ap,30,5,1,22,0.045454545454545456,0
jp,30,5,2,35,0.05714285714285714,0
pt,30,5,0,47,0.0,1
bp,30,5,1,6,0.16666666666666666,0
ogt,30,5,6,94,0.06382978723404255,0
lcx,30,5,1,12,0.08333333333333333,1
pcp,30,5,24,78,0.3076923076923077,1
mca,30,5,2,5,0.4,0
si,30,5,2,15,0.13333333333333333,3
loc,30,5,28,49,0.5714285714285714,1
ekg,30,5,0,6,0.0,0
av,30,10,1,21,0.047619047619047616,1
hiv,30,10,4,16,0.25,0
rbc,30,10,6,14,0.42857142857142855,0
cv,30,10,7,32,0.21875,0
pca,30,10,1,30,0.03333333333333333,0
ems,30,10,78,119,0.6554621848739496,4
ptt,30,10,18,62,0.2903225806451613,0
bal,30,10,28,56,0.5,9
am,30,10,4,93,0.043010752688172046,1
ap,30,10,6,21,0.2857142857142857,0
jp,30,10,3,24,0.125,0
pt,30,10,33,143,0.23076923076923078,4
bp,30,10,3,5,0.6,0
ogt,30,10,7,18,0.3888888888888889,0
lcx,30,10,3,8,0.375,0
pcp,30,10,36,51,0.7058823529411765,0
